State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10,State_11,State_12,State_13,State_14,State_15,Action_Check,Action_Call,Action_Fold,Action_Raise Small,Action_Bet Big,Action_Bet Small
1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,729.5343979612298,822.9594107098505,504.3164246624639,0.0,341.5035334054255,417.4427181651885
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1922.3414094076486,2029.0145915790372,1675.1765207763328,0.0,1847.0906245609197,1845.8816204823006
2,0,0,1,1,0,0,2,1,3,1,0,0,0,0,1,44.932003511576674,68.23126897943548,-115.85837947627283,0.0,-21.724377567446968,29.129047634849478
2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,133.9223165756642,178.00468985701178,-95.95690797923707,0.0,-25.89945462106275,82.96096121279402
2,0,0,1,2,1,0,1,0,2,1,0,0,0,0,1,5.12307490634375,12.050953750000001,-31.052467049709847,0.0,6.2112564625,2.6772198036026564
2,0,0,1,3,1,0,1,0,2,1,0,0,0,0,1,-1.6099999999999997,2.0,-7.653712499999999,0.0,-0.5025000000000002,5.9994525
2,0,0,1,1,0,0,1,0,2,1,0,0,0,0,1,15.48507538311969,22.24103522092453,-68.36592871449787,0.0,-15.963737537940624,8.922159995737031
2,0,0,1,2,0,0,2,1,2,1,0,0,0,1,0,0.15000000000000002,0.0,-1.0,0.0,0.0,0.0
2,0,0,1,3,1,0,2,2,3,2,0,0,0,1,0,2.25,1.0,-0.9050000000000001,0.0,0.0,0.0
1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0.7937512500000001,2.75,-18.901475,0.0,-3.73582113125,-0.98582113125
1,0,0,0,2,1,0,2,1,1,1,0,0,0,2,1,0.5597000000000001,0.8399999999999999,-10.6856,0.0,0.0,-0.6000000000000001
1,0,0,0,3,1,0,2,1,1,1,1,0,0,2,1,-3.38,-0.30000000000000004,-3.12,0.0,-0.8400000000000001,-0.7200000000000001
